"","quad","year","track_id","size_t0","logsize_t0","survives","size_t1"
"236","gzun_19",2003,"SITHYS_2001_7",0.000220550023531334,-8.41938602471946,1,0.00180161002311457
"238","gzun_19",2001,"SITHYS_2001_8",0.0019874747576997,-6.22089041204489,1,0.00110436675953503
"240","gzun_19",2001,"SITHYS_2001_9",0.00141906301850998,-6.55775847128296,1,0.00124975217116528
"247","gzun_24",1997,"SITHYS_1997_1",0.00221441352385054,-6.11276768532938,1,0.00185083018448124
"249","gzun_24",1997,"SITHYS_1997_2",0.000847912321823334,-7.07273332159416,1,0.00257631255632686
"250","gzun_24",1998,"SITHYS_1997_2",0.00257631255632686,-5.96139614412258,1,0.00588022498756036
"251","gzun_24",1999,"SITHYS_1997_2",0.00588022498756036,-5.13616025461308,1,0.00168914666862178
"253","gzun_24",1998,"SITHYS_1998_1",0.000489590203905279,-7.62194183532973,1,0.00121218989312159
"257","gzun_24",1998,"SITHYS_1998_12",2.50000000000001e-05,-10.5966347330961,1,0.00180866213677365
"258","gzun_24",1999,"SITHYS_1998_12",0.00180866213677365,-6.31516785796494,1,0.00188222901562273
"265","gzun_24",1998,"SITHYS_1998_2",0.00181282503657182,-6.31286885679086,1,0.00431974996969789
"266","gzun_24",1999,"SITHYS_1998_2",0.00431974996969789,-5.44455775578583,1,0.00172956632081976
"268","gzun_24",1998,"SITHYS_1998_3",0.00204776695737266,-6.19100536862487,1,0.00215266528639381
"269","gzun_24",1999,"SITHYS_1998_3",0.00215266528639381,-6.14104853650647,1,0.00123313097548654
"270","gzun_24",2001,"SITHYS_1998_3",0.00123313097548654,-6.6981988353915,1,0.0011834682846276
"272","gzun_24",1998,"SITHYS_1998_4",0.00127652702165278,-6.6636121529578,1,0.00142085746256139
"273","gzun_24",1999,"SITHYS_1998_4",0.00142085746256139,-6.55649474273692,1,0.00214346725460922
"275","gzun_24",1998,"SITHYS_1998_5",0.00022852083616247,-8.38388316508062,1,0.00190026188860104
"277","gzun_24",1998,"SITHYS_1998_6",0.00153067375394184,-6.48204727845522,1,0.0035525293355804
"278","gzun_24",1999,"SITHYS_1998_6",0.0035525293355804,-5.64009544029864,1,0.00149277869503218
"283","gzun_24",1999,"SITHYS_1999_1",2.49999999999994e-05,-10.5966347330961,1,0.00143234000044837
"292","gzun_7",1998,"SITHYS_1998_1",0.00400019275223069,-5.52141273096558,1,0.00612963865982045
"293","gzun_7",1999,"SITHYS_1998_1",0.00612963865982045,-5.0946194769671,1,0.0066095193485696
"295","gzun_7",1998,"SITHYS_1998_2",0.000571480513759304,-7.46728017196985,1,0.00249414882271699
"297","gzun_7",1998,"SITHYS_1998_3",0.00133359409215314,-6.61987765653665,1,0.00229915996525418
"299","gzun_7",1998,"SITHYS_1998_4",0.00108633199971466,-6.82494839542859,1,0.00145774229720393
"300","gzun_7",1999,"SITHYS_1998_4",0.00145774229720393,-6.53086641190689,1,0.00197414423669142
"301","gzun_7",2000,"SITHYS_1998_4",0.00197414423669142,-6.22762027240746,1,0.00197117888736054
"303","gzun_7",1998,"SITHYS_1998_5",0.00104395742988101,-6.86473656632909,1,0.00137354909589846
"304","gzun_7",1999,"SITHYS_1998_5",0.00137354909589846,-6.59035730796516,1,0.00191115585445495
"307","gzun_7",1999,"SITHYS_1999_2",0.000670512699052235,-7.30746791574667,1,0.00171065953231746
"308","gzun_7",2000,"SITHYS_1999_2",0.00171065953231746,-6.37087629141366,1,0.00153872542956824
"315","ungz_19",1997,"SITHYS_1997_1",0.00186710271946111,-6.283367397478,1,0.00458470809824934
"317","ungz_19",1997,"SITHYS_1997_2",0.000361461835798606,-7.92535409372664,1,0.000540570703810764
"320","ungz_19",1997,"SITHYS_1997_4",0.00674150198521752,-4.99947253241307,1,0.010703123130202
"321","ungz_19",1998,"SITHYS_1997_4",0.010703123130202,-4.53721969877606,1,0.00116827234195887
"322","ungz_19",2000,"SITHYS_1997_4",0.00116827234195887,-6.75222925227054,1,0.000418516345974959
"324","ungz_19",1997,"SITHYS_1997_5",0.00143036220941543,-6.54982757348615,1,0.00280738924045191
"330","ungz_24",1998,"SITHYS_1998_1",0.00318622534059404,-5.74891834162315,1,0.000779764085280202
"359","ungz_7",1998,"SITHYS_1998_5",2.4999999999999e-05,-10.5966347330961,1,0.00151537637687473
"361","ungz_7",1999,"SITHYS_1999_1",0.000785310934235531,-7.14943082403905,1,0.000214057314090714
"368","unun_19",1997,"SITHYS_1997_2",0.00166767338404912,-6.39632580713963,1,0.00110968898957032
"370","unun_19",1997,"SITHYS_1997_3",0.00248970197071746,-5.99559226614391,1,0.00715113964974194
"371","unun_19",1998,"SITHYS_1997_3",0.00715113964974194,-4.94048354340541,1,0.000812616390601064
"372","unun_19",1999,"SITHYS_1997_3",0.000812616390601064,-7.11525140404914,1,0.00217881684656682
"374","unun_19",1997,"SITHYS_1997_4",0.000953787819637257,-6.95506932253475,1,0.00199690508414636
"376","unun_19",1997,"SITHYS_1997_5",0.00606551919701077,-5.10513513480723,1,0.0154827145251259
"378","unun_19",1997,"SITHYS_1997_6",0.00114570299641196,-6.77173685971335,1,0.00406353031395796
"379","unun_19",1998,"SITHYS_1997_6",0.00406353031395796,-5.50570314773782,1,0.0011482292734727
"380","unun_19",2000,"SITHYS_1997_6",0.0011482292734727,-6.76953428545671,1,0.000934654567682742
"383","unun_19",1997,"SITHYS_1997_8",0.00164688774800445,-6.40886798554074,1,0.00050808899133426
"385","unun_19",1998,"SITHYS_1998_1",0.00229570557744075,-6.07671504156932,1,0.000799268694367087
"393","unun_19",2000,"SITHYS_2000_2",0.000245304096521119,-8.31301190679395,1,0.000502346380085414
"395","unun_19",2000,"SITHYS_2000_3",0.000496021329681874,-7.60889162877309,1,0.00213066252420622
"396","unun_19",2001,"SITHYS_2000_3",0.00213066252420622,-6.15132230339676,1,0.00184144425895745
"397","unun_19",2002,"SITHYS_2000_3",0.00184144425895745,-6.29720509190603,1,0.000681215069331023
"399","unun_19",2000,"SITHYS_2000_4",0.000999436201140631,-6.90831923683585,1,0.000600888225817403
"408","unun_24",1998,"SITHYS_1998_1",0.00113213369741244,-6.78365119892046,1,0.0040622589397094
"410","unun_24",1998,"SITHYS_1998_2",0.000243420152950347,-8.32072158317878,1,0.000724127560030254
"412","unun_24",1998,"SITHYS_1998_3",0.00057573444686679,-7.45986403332043,1,0.00236400311109858
"414","unun_24",1998,"SITHYS_1998_4",0.000494640930570731,-7.61167845140664,1,0.00216779546804635
"416","unun_24",1998,"SITHYS_1998_5",0.000241518852371855,-8.32856302426688,1,0.00202631451118612
"439","unun_5b",1999,"SITHYS_1999_1",0.00270678505717334,-5.91199367409826,1,0.0033097802562517
"441","unun_7",1997,"SITHYS_1997_1",0.000642779377318027,-7.34970900719487,1,0.00381625679002383
"442","unun_7",1998,"SITHYS_1997_1",0.00381625679002383,-5.56848523467698,1,0.0171989061438296
"443","unun_7",1999,"SITHYS_1997_1",0.0171989061438296,-4.06290949347403,1,0.00564138738611401
"445","unun_7",1997,"SITHYS_1997_2",0.00103450123670613,-6.87383586531673,1,0.00244194440819124
"446","unun_7",1998,"SITHYS_1997_2",0.00244194440819124,-6.0149606684212,1,0.00108780620817011
"449","unun_7",1997,"SITHYS_1997_4",0.00125095714712364,-6.68384630298125,1,0.000989981825566774
"450","unun_7",1998,"SITHYS_1997_4",0.000989981825566774,-6.91782397301751,1,0.00134859305742945
"451","unun_7",1999,"SITHYS_1997_4",0.00134859305742945,-6.60869340966054,1,0.00156105037385055
"453","unun_7",1998,"SITHYS_1998_1",0.000281581830914724,-8.17508745666137,1,0.000876886150109076
"455","unun_7",1998,"SITHYS_1998_2",0.00196754100700624,-6.23097073570123,1,0.00144022696339935
"456","unun_7",1999,"SITHYS_1998_2",0.00144022696339935,-6.54295456434216,1,0.000561028872442261
"458","unun_7",1998,"SITHYS_1998_3",0.00033647576507717,-7.99698443204614,1,0.00132731544977589
"459","unun_7",1999,"SITHYS_1998_3",0.00132731544977589,-6.62459683539693,1,0.0011926506258812
"461","unun_7",1998,"SITHYS_1998_4",0.000417123637830627,-7.78212788651239,1,0.000205129257982043
"464","unun_7",1999,"SITHYS_1999_1",0.00219031450523969,-6.12371013576612,1,0.000248520498537631
